"","maatregel","id","S_ER_SOIL","S_ER_WATER","S_ER_CLIMATE","S_ER_BIODIVERSITY","S_ER_LANDSCAPE","S_ER_TOT","S_ER_REWARD"
"1","EB1",1,0,0,0,0,0,0,0
"2","EB10A",1,100,100,0,100,100,40,710
"3","EB10B",1,100,100,0,100,100,40,1420
"4","EB10C",1,100,100,0,100,100,40,2130
"5","EB11A",1,0,0,0,0,0,0,0
"6","EB11B",1,0,0,0,0,0,0,0
"7","EB11C",1,0,0,0,0,0,0,0
"8","EB12",1,86,86,100,36,14,47,0
"9","EB13A",1,29,0,57,0,0,7,0
"10","EB13B",1,29,0,57,0,0,7,0
"11","EB14A",1,100,100,100,100,0,40,1420
"12","EB14B",1,100,100,100,100,0,40,1775
"13","EB14C",1,100,100,100,100,0,40,2130
"14","EB15",1,0,0,0,0,0,0,0
"15","EB16A",1,0,0,0,0,0,0,0
"16","EB16B",1,0,0,0,0,0,0,0
"17","EB17",1,0,0,0,0,0,0,0
"18","EB18",1,43,71,0,89,14,23,213
"19","EB19",1,43,71,0,89,0,17,106.5
"20","EB2",1,0,0,0,0,0,0,0
"21","EB20",1,0,0,0,0,0,0,0
"22","EB21",1,0,0,0,0,0,0,0
"23","EB23A",1,0,0,0,0,0,0,0
"24","EB23B",1,0,0,0,0,0,0,0
"25","EB3",1,0,0,0,0,0,0,0
"26","EB4A",1,0,0,0,0,0,0,0
"27","EB4B",1,0,0,0,0,0,0,0
"28","EB5A",1,0,0,0,0,0,0,0
"29","EB5B",1,0,0,0,0,0,0,0
"30","EB6",1,0,0,0,0,0,0,0
"31","EB7A",1,0,0,0,0,0,0,0
"32","EB7B",1,0,0,0,0,0,0,0
"33","EB8",1,0,0,0,0,0,0,0
"34","EB9",1,0,0,0,0,0,0,0
"35","EG10A",1,0,0,0,0,0,0,0
"36","EG10B",1,0,0,0,0,0,0,0
"37","EG11A",1,71,29,0,54,0,14,0
"38","EG12A",1,100,100,100,0,0,20,3550
"39","EG12B",1,100,100,100,0,0,20,5325
"40","EG13",1,0,0,0,0,0,0,0
"41","EG14",1,0,0,0,0,0,0,0
"42","EG15",1,0,0,0,0,0,0,0
"43","EG16A",1,0,0,0,0,0,0,0
"44","EG16B",1,0,0,0,0,0,0,0
"45","EG16C",1,0,0,0,0,0,0,0
"46","EG17",1,0,0,0,0,0,0,0
"47","EG18",1,0,0,0,0,0,0,0
"48","EG19",1,0,0,0,0,0,0,0
"49","EG1A",1,0,0,0,0,0,0,0
"50","EG1B",1,0,0,0,0,0,0,0
"51","EG1C",1,0,0,0,0,0,0,0
"52","EG1D",1,0,0,0,0,0,0,0
"53","EG20A1",1,0,29,57,100,86,29,0
"54","EG20A2",1,0,29,57,100,86,29,0
"55","EG20A3",1,0,29,57,100,86,29,0
"56","EG20A4",1,0,29,57,100,86,29,0
"57","EG20A5",1,0,29,57,100,86,29,0
"58","EG20A6",1,0,29,57,100,86,29,0
"59","EG20B1",1,0,29,57,100,86,29,0
"60","EG20B2",1,0,29,57,100,86,29,0
"61","EG20B3",1,0,29,57,100,86,29,0
"62","EG20B4",1,0,29,57,100,86,29,0
"63","EG20B5",1,0,29,57,100,86,29,0
"64","EG20B6",1,0,29,57,100,86,29,0
"65","EG20C1",1,0,29,57,100,86,29,0
"66","EG20C2",1,0,29,57,100,86,29,0
"67","EG20C3",1,0,29,57,100,86,29,0
"68","EG20C4",1,0,29,57,100,86,29,0
"69","EG20C5",1,0,29,57,100,86,29,0
"70","EG20C6",1,0,29,57,100,86,29,0
